college_name,college_code,year_established,fee_category_a,fee_management_quota,fee_nri_quota,city,type,lat,lng,nirf_rank,nirf_score,beds,google_rating,google_review_count,data_notes
Government Medical College Nizamabad,GVNZ,2013,10000,,,Nizamabad,government,18.67,78.09,,,500,4.1,105,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Mahabubnagar,GMCM,2016,45000,,,Mahabubnagar,government,16.75,77.99,,,748,4.9,14,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Osmania Medical College,OMCH,1846,29000,,,Hyderabad,government,17.39,78.47,48,,1168,4.5,1763,"NIRF Medical 2025 rank 48 (nirfindia.org via CollegeDekho/Shiksha); beds from Osmania General Hospital, Wikipedia (cites hospital's own figures) | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Kakatiya Medical College,KKTI,1959,10000,,,Warangal,government,17.97,79.59,,,1450,4.4,598,"Beds = MGM Hospital Warangal (attached teaching hospital), Wikipedia | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Gandhi Medical College,GAND,1954,12000,,,Secunderabad,government,17.44,78.50,,,1200,4.3,1083,"Beds conflict across official sources: college site says 1200, hospital's own site claims 2200 operational beds as of 2026 — used the more conservative, longer-standing figure; verify before relying on this | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
ESIC Medical College Sanath Nagar,ESIM,2016,24000,,,Hyderabad,government,17.45,78.44,,,750,4.3,1604,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Rajiv Gandhi Institute of Medical Sciences,RADL,2008,10000,,,Adilabad,government,19.67,78.53,,,250,3.8,1065,"Total intake 525 seats per Wikipedia (2019-20 expansion) — seats, not beds; bed count not found | Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
All India Institute of Medical Sciences Bibinagar,,,1350,,,Bibinagar,government,17.44,78.90,,,750,5.0,68,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Suryapet,GMSR,2019,10000,,,Suryapet,government,17.14,79.62,,,300,4.3,369,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Nalgonda,GMNL,2019,17000,,,Nalgonda,government,17.05,79.27,,,300,3.9,778,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Siddipet,SGMC,2018,15565,,,Siddipet,government,18.10,78.85,,,500,4.6,63,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Wanaparthy,GWNP,2022,10000,,,Wanaparthy,government,16.36,78.06,,,330,4.5,70,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Sangareddy,GSGR,2022,50000,,,Sangareddy,government,17.63,78.08,,,450,4.4,130,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Nagarkurnool,GNGK,2022,29000,,,Nagarkurnool,government,16.48,78.32,,,330,4.4,68,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Bhadradri Kothagudem,GMBK,2022,29000,,,Kothagudem,government,17.55,80.62,,,330,4.5,65,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Mahabubabad,GMHB,2023,25000,,,Mahabubabad,government,17.60,80.00,,,330,4.7,59,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Jagtial,GJTL,2022,20000,,,Jagtial,government,18.79,78.91,,,330,4.5,52,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Ramagundam,SIMS,2022,28000,,,Ramagundam,government,18.76,79.48,,,330,4.5,2,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Rajanna Sircilla,GSRC,2023,10000,,,Sircilla,government,18.38,78.82,,,330,4.7,39,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Jayashankar Bhupalpally,GJBP,2023,29000,,,Bhupalpally,government,18.43,79.88,,,330,3.7,22,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Jangaon,GJGN,2023,33636,,,Jangaon,government,17.73,79.17,,,330,4.3,50,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Vikarabad,GVKB,2023,40000,,,Vikarabad,government,17.34,77.90,,,330,3.8,18,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Asifabad,GASF,2023,10000,,,Asifabad,government,19.37,79.28,,,330,4.7,37,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
